,Nature mutation,Valeur fonciere,Type de voie,Code postal,Commune,Code departement,Code commune,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain,month,year,Prix m2 moyen region,Prix m2 moyen commune,latitude,longitude
259709,Vente,57500.0,RTE,58000.0,NEVERS,58,194,0,1.0,Maison,60.0,3.0,1,461.0,6,2018,934.0475676593892,1060.7410400696824,46.9881194908,3.15689130958
803850,Vente,100000.0,RUE,59310.0,BEUVRY-LA-FORET,59,80,0,1.0,Maison,85.0,5.0,1,154.0,11,2019,1878.2179066985084,1910.947153452441,50.4499686964,3.28271096457
393238,Vente,63000.0,RUE,81430.0,LE FRAYSSE,81,96,0,1.0,Maison,30.0,0.0,1,605.0,6,2018,1319.5912338650842,1071.3651642475172,43.9068214611,2.41660067701
1912112,Vente,13000.0,RUE,89110.0,MONTHOLON,89,3,0,1.0,Maison,20.0,1.0,1,76.0,12,2021,1311.1455525098588,1241.5006504864368,47.8710829792,3.32834802576
381736,Vente,150400.0,RUE,78300.0,POISSY,78,498,2,2.0,Appartement,44.0,2.0,0,0.0,11,2018,3577.6967096557737,3592.608918673412,48.9235359371,2.02715552772
1413318,Vente,145000.0,CHE,76490.0,MAULEVRIER-SAINTE-GERTRUDE,76,418,0,1.0,Maison,140.0,6.0,1,1094.0,5,2020,1973.9442708376116,1920.488731856379,49.5547380946,0.708077197955
487228,Vente,435000.0,RUE,75015.0,PARIS 15,75,115,2,2.0,Appartement,45.0,3.0,0,0.0,8,2018,8800.865103410846,8949.956243529103,48.8401554186,2.29355937244
781421,Vente,110000.0,RUE,56120.0,JOSSELIN,56,91,0,1.0,Maison,64.0,4.0,1,262.0,10,2019,2002.9306796341132,1124.3374303734845,47.9544411983,-2.54877600621
1072277,Vente,88000.0,GR,10160.0,RIGNY LE FERRON,10,319,0,1.0,Maison,90.0,4.0,1,188.0,12,2020,1400.9932644243477,814.3437529623311,48.2023856771,3.62729053332
1500121,Vente,190000.0,VLA,93200.0,SAINT-DENIS,93,66,0,1.0,Maison,63.0,4.0,1,263.0,7,2020,4178.525163400703,3943.143405844624,48.9295650455,2.3592429975
502270,Vente,62500.0,RUE,2100.0,SAINT QUENTIN,2,691,0,1.0,Maison,62.0,4.0,1,196.0,12,2019,1158.6612505475027,1005.8796067734654,49.8472336321,3.27769499462
444169,Vente,194100.0,RUE,92600.0,ASNIERES-SUR-SEINE,92,4,3,2.0,Appartement,32.0,2.0,0,0.0,10,2018,5815.240033179571,5569.505644453174,48.9153530123,2.2880384663
358580,Vente,178000.0,RUE,76800.0,SAINT-ETIENNE-DU-ROUVRAY,76,575,0,1.0,Maison,110.0,7.0,1,283.0,7,2018,1849.0727098273976,1775.6578859459687,49.3814944369,1.08976892912
1225600,Vente,137000.0,BD,38160.0,SAINT-MARCELLIN,38,416,2,2.0,Appartement,86.0,5.0,0,0.0,7,2020,2369.9991952531614,1714.1224538196411,45.1534136901,5.31720171085
1676476,Vente,60000.0,RUE,34290.0,SERVIAN,34,300,0,1.0,Maison,75.0,4.0,1,54.0,6,2021,2772.260140131778,1866.1838907850429,43.4143351267,3.30645261407
1656012,Vente,55000.0,RUE,32290.0,MARGOUET-MEYMES,32,235,0,1.0,Maison,65.0,2.0,1,590.0,2,2021,1407.6684795516085,872.4812337421032,43.7253897531,0.117825300708
113814,Vente,300000.0,RUE,29217.0,LE CONQUET,29,40,0,1.0,Maison,150.0,6.0,1,564.0,8,2018,1483.0169282575966,1970.3818898739291,48.3555977933,-4.76234204122
60547,Vente,66000.0,GR,14430.0,DOZULE,14,229,0,1.0,Maison,57.0,5.0,1,155.0,2,2018,2080.303068331505,1545.373302081205,49.2290318466,-0.0448932247721
1747595,Vente,110000.0,RLE,52220.0,RIVES DERVOISES,52,411,0,1.0,Maison,102.0,4.0,1,744.0,6,2021,919.816812436825,835.8823529411766,48.489304653,4.6870081083
47782,Vente,356100.0,CHE,13013.0,MARSEILLE 13EME,13,213,0,1.0,Maison,104.0,4.0,1,469.0,6,2018,2839.6070661285644,2933.6524944584366,43.3492780005,5.43372238738
1595124,Vente,186150.0,ALL,17750.0,ETAULES,17,155,0,1.0,Maison,76.0,3.0,1,357.0,6,2021,2727.78750235737,2229.707747471934,45.7225172256,-1.10053747379
1596399,Vente,300000.0,RUE,17137.0,ESNANDES,17,153,0,1.0,Maison,90.0,5.0,1,450.0,9,2021,2727.78750235737,2499.8817192520605,46.2481463868,-1.11394343673
966053,Vente,26800.0,AV,88800.0,VITTEL,88,516,4,2.0,Appartement,38.0,2.0,0,0.0,5,2019,1107.4869831155854,1190.0248392977574,48.2012893937,5.95449403029
481569,Vente,292500.0,RUE,75010.0,PARIS 10,75,110,2,2.0,Appartement,26.0,2.0,0,0.0,7,2018,8800.865103410846,8905.176805567544,48.8760285569,2.36111290456
333969,Vente,372000.0,RUE,69210.0,L ARBRESLE,69,10,0,1.0,Maison,132.0,4.0,1,956.0,10,2018,3068.867770659194,2108.992579070284,45.8356663158,4.60937267063
211759,Vente,175000.0,AV,44730.0,SAINT-MICHEL-CHEF-CHEF,44,182,0,1.0,Maison,43.0,3.0,1,911.0,8,2018,2487.987963913667,2960.9299306681146,47.1755629767,-2.12731093246
1387081,Vente,130000.0,RTE,71290.0,SIMANDRE,71,522,0,1.0,Maison,107.0,5.0,1,923.0,5,2020,1289.2337282472513,1242.9133887056464,46.6122739185,4.98702141498
386054,Vente,254000.0,RUE,79000.0,NIORT,79,191,0,1.0,Maison,113.0,5.0,1,502.0,8,2018,1153.6641731787952,1473.2549695400037,46.328260242,-0.465353019369
1727939,Vente,232000.0,RUE,45480.0,BAZOCHES-LES-GALLERANDES,45,25,0,1.0,Maison,58.0,3.0,1,709.0,10,2021,1926.7813248541463,1811.6142284190216,48.1622351028,2.05200165302
535881,Vente,155000.0,RUE,11120.0,GINESTAS,11,164,0,1.0,Maison,100.0,4.0,1,469.0,12,2019,1544.3543809940743,1611.9503569072904,43.2758588523,2.87717593442
394966,Vente,38000.0,RUE,81330.0,LACAZE,81,125,0,1.0,Maison,75.0,4.0,1,310.0,7,2018,1319.5912338650842,610.0857330461905,43.7430264431,2.50920247729
