,Code departement,year,Type local,Valeur fonciere
14,1,2021,Local industriel. commercial ou assimilé,144458.75714285715
30,10,2021,Local industriel. commercial ou assimilé,91695.66666666669
46,11,2021,Local industriel. commercial ou assimilé,100222.34042553192
62,12,2021,Local industriel. commercial ou assimilé,74110.44444444444
78,13,2021,Local industriel. commercial ou assimilé,213839.1941747573
94,14,2021,Local industriel. commercial ou assimilé,164299.19178082192
110,15,2021,Local industriel. commercial ou assimilé,55417.5
126,16,2021,Local industriel. commercial ou assimilé,90963.80208333331
142,17,2021,Local industriel. commercial ou assimilé,146176.6535433071
158,18,2021,Local industriel. commercial ou assimilé,67948.88888888889
174,19,2021,Local industriel. commercial ou assimilé,68967.9512195122
190,2,2021,Local industriel. commercial ou assimilé,83753.96610169491
206,21,2021,Local industriel. commercial ou assimilé,111986.40909090907
222,22,2021,Local industriel. commercial ou assimilé,108308.58620689657
238,23,2021,Local industriel. commercial ou assimilé,34042.55
254,24,2021,Local industriel. commercial ou assimilé,105767.14492753622
270,25,2021,Local industriel. commercial ou assimilé,107221.475
286,26,2021,Local industriel. commercial ou assimilé,116575.97872340426
302,27,2021,Local industriel. commercial ou assimilé,114538.27536231883
318,28,2021,Local industriel. commercial ou assimilé,115559.05769230767
334,29,2021,Local industriel. commercial ou assimilé,107253.66666666669
350,2A,2021,Local industriel. commercial ou assimilé,112824.16666666669
366,2B,2021,Local industriel. commercial ou assimilé,195105.8333333333
382,3,2021,Local industriel. commercial ou assimilé,70070.44
398,30,2021,Local industriel. commercial ou assimilé,125394.48648648648
414,31,2021,Local industriel. commercial ou assimilé,160279.57142857142
430,32,2021,Local industriel. commercial ou assimilé,93950.0
446,33,2021,Local industriel. commercial ou assimilé,189854.65625
462,34,2021,Local industriel. commercial ou assimilé,170098.93333333332
478,35,2021,Local industriel. commercial ou assimilé,124325.1616161616
494,36,2021,Local industriel. commercial ou assimilé,59098.833333333336
510,37,2021,Local industriel. commercial ou assimilé,122040.02325581395
526,38,2021,Local industriel. commercial ou assimilé,144774.67901234567
542,39,2021,Local industriel. commercial ou assimilé,87010.63157894737
558,4,2021,Local industriel. commercial ou assimilé,145492.57142857142
574,40,2021,Local industriel. commercial ou assimilé,165822.66666666666
590,41,2021,Local industriel. commercial ou assimilé,68843.49019607843
606,42,2021,Local industriel. commercial ou assimilé,114390.9393939394
622,43,2021,Local industriel. commercial ou assimilé,90728.30434782608
638,44,2021,Local industriel. commercial ou assimilé,157307.07299270073
654,45,2021,Local industriel. commercial ou assimilé,129005.91954022988
670,46,2021,Local industriel. commercial ou assimilé,76336.61538461539
686,47,2021,Local industriel. commercial ou assimilé,90490.6
702,48,2021,Local industriel. commercial ou assimilé,89960.75
718,49,2021,Local industriel. commercial ou assimilé,108272.70192307692
734,5,2021,Local industriel. commercial ou assimilé,125944.4
750,50,2021,Local industriel. commercial ou assimilé,95576.14736842104
766,51,2021,Local industriel. commercial ou assimilé,128703.97872340426
782,52,2021,Local industriel. commercial ou assimilé,76300.875
798,53,2021,Local industriel. commercial ou assimilé,75595.04166666667
814,54,2021,Local industriel. commercial ou assimilé,108115.80303030302
830,55,2021,Local industriel. commercial ou assimilé,69605.0
846,56,2021,Local industriel. commercial ou assimilé,114360.04098360657
862,58,2021,Local industriel. commercial ou assimilé,79900.0303030303
878,59,2021,Local industriel. commercial ou assimilé,127381.81886792452
894,6,2021,Local industriel. commercial ou assimilé,265499.4
910,60,2021,Local industriel. commercial ou assimilé,129878.83561643836
926,61,2021,Local industriel. commercial ou assimilé,52356.01960784314
942,62,2021,Local industriel. commercial ou assimilé,104695.475
958,63,2021,Local industriel. commercial ou assimilé,98051.85897435895
974,64,2021,Local industriel. commercial ou assimilé,127078.61818181818
990,65,2021,Local industriel. commercial ou assimilé,96635.79166666669
1006,66,2021,Local industriel. commercial ou assimilé,124097.91489361702
1022,69,2021,Local industriel. commercial ou assimilé,190427.83823529413
1038,7,2021,Local industriel. commercial ou assimilé,132994.55263157896
1054,70,2021,Local industriel. commercial ou assimilé,64150.045454545456
1070,71,2021,Local industriel. commercial ou assimilé,102872.72602739726
1086,72,2021,Local industriel. commercial ou assimilé,86488.40983606558
1102,73,2021,Local industriel. commercial ou assimilé,156294.5588235294
1118,74,2021,Local industriel. commercial ou assimilé,194137.84615384616
1131,75,2021,Local industriel. commercial ou assimilé,144000.0
1147,76,2021,Local industriel. commercial ou assimilé,133984.24324324325
